# Pinned assembly accessions. Generated by scripts/01_fetch_genomes.py.
# Delete this file to re-resolve against NCBI; otherwise it is the
# authority and NCBI is not consulted for which genome to use.
#
# The panel is complete genomes only. resolved_by records how each
# accession was arrived at:
#   ncbi_reference          NCBI's designated reference, complete
#   reference_not_complete  designated reference was below complete
#                           assembly level and was rejected
#   no_reference_designated species has no designated reference
# The latter two fall back to the current complete RefSeq assembly
# with the fewest contigs, accession as tie-break.
#
species	phylum	expected_gc	accession	assembly_name	assembly_level	taxid	resolved_by
Borreliella burgdorferi	Spirochaetota	28	GCF_002151505.1	ASM215150v1	Complete Genome	139	ncbi_reference
Clostridioides difficile	Bacillota	29	GCF_018885085.1	ASM1888508v1	Complete Genome	1496	ncbi_reference
Campylobacter jejuni	Campylobacterota	30	GCF_000009085.1	ASM908v1	Complete Genome	192222	ncbi_reference
Staphylococcus aureus	Bacillota	33	GCF_000013425.1	ASM1342v1	Complete Genome	93061	ncbi_reference
Enterococcus faecalis	Bacillota	37	GCF_001598635.1	ASM159863v1	Complete Genome	1351	reference_not_complete
Listeria monocytogenes	Bacillota	38	GCF_000196035.1	ASM19603v1	Complete Genome	169963	ncbi_reference
Haemophilus influenzae	Pseudomonadota	38	GCF_020736045.1	ASM2073604v1	Complete Genome	727	ncbi_reference
Helicobacter pylori	Campylobacterota	39	GCF_025998455.1	ASM2599845v1	Complete Genome	210	ncbi_reference
Streptococcus pneumoniae	Bacillota	40	GCF_001457635.1	NCTC7465	Complete Genome	1313	ncbi_reference
Bacteroides fragilis	Bacteroidota	43	GCF_000025985.1	ASM2598v1	Complete Genome	272559	ncbi_reference
Bacillus subtilis	Bacillota	44	GCF_000009045.1	ASM904v1	Complete Genome	224308	ncbi_reference
Synechocystis sp. PCC 6803	Cyanobacteriota	47	GCF_000270265.1	ASM27026v1	Complete Genome	1148	no_reference_designated
Vibrio cholerae	Pseudomonadota	47	GCF_008369605.1	ASM836960v1	Complete Genome	666	ncbi_reference
Escherichia coli	Pseudomonadota	51	GCF_000008865.2	ASM886v2	Complete Genome	386585	ncbi_reference
Neisseria meningitidis	Pseudomonadota	52	GCF_022869645.1	ASM2286964v1	Complete Genome	487	ncbi_reference
Salmonella enterica	Pseudomonadota	52	GCF_000006945.2	ASM694v2	Complete Genome	99287	ncbi_reference
Corynebacterium glutamicum	Actinomycetota	54	GCF_000011325.1	ASM1132v1	Complete Genome	196627	ncbi_reference
Sinorhizobium meliloti	Pseudomonadota	62	GCF_037023865.1	ASM3702386v1	Complete Genome	382	ncbi_reference
Xanthomonas campestris	Pseudomonadota	65	GCF_013388375.1	ASM1338837v1	Complete Genome	359385	ncbi_reference
Pseudomonas aeruginosa	Pseudomonadota	66	GCF_000006765.1	ASM676v1	Complete Genome	208964	ncbi_reference
Mycobacterium tuberculosis	Actinomycetota	66	GCF_000195955.2	ASM19595v2	Complete Genome	83332	ncbi_reference
Caulobacter vibrioides	Pseudomonadota	67	GCF_000022005.1	ASM2200v1	Complete Genome	565050	ncbi_reference
Deinococcus radiodurans	Deinococcota	67	GCF_020546685.1	ASM2054668v1	Complete Genome	243230	ncbi_reference
Thermus thermophilus	Deinococcota	69	GCF_000091545.1	ASM9154v1	Complete Genome	300852	ncbi_reference
Streptomyces coelicolor	Actinomycetota	72	GCF_008931305.1	ASM893130v1	Complete Genome	100226	no_reference_designated
